headings,post_link,date,author
The case for a Native American secretary of the interior  ,https://www.vox.com/21572229/native-american-secretary-interior-biden-cabinet,"Nov 20, 2020",Rachel Ramirez
Here’s how Biden could undo Trump’s deregulation agenda,https://www.vox.com/21536034/biden-trump-deregulation-climate-change-obamacare,"Nov  9, 2020",Sarah Kleiner
The case for a Native American secretary of the interior  ,https://www.vox.com/21572229/native-american-secretary-interior-biden-cabinet,"Nov 20, 2020",Rachel Ramirez
Here’s how Biden could undo Trump’s deregulation agenda,https://www.vox.com/21536034/biden-trump-deregulation-climate-change-obamacare,"Nov  9, 2020",Sarah Kleiner
Trump’s Covid-19 disaster will likely get worse before Biden takes office,https://www.vox.com/future-perfect/21542115/trump-biden-covid-coronavirus-election-results-transition,"Nov  7, 2020",German Lopez
Trump finally admitted that Biden won the election — then immediately walked it back,https://www.vox.com/2020/11/15/21566090/trump-wont-concede-biden-won-election,"Nov 15, 2020",Zeeshan Aleem
Live results: Georgia continues to count ballots in a tight race,https://www.vox.com/2020/11/4/21549503/georgia-election-results-live-trump-biden,"Nov  4, 2020",Li Zhou
Trump’s refusal to concede threatens America’s national security and the Covid-19 response,https://www.vox.com/2020/11/12/21558523/presidential-transition-biden-trump-general-services-administration,"Nov 12, 2020",Jen Kirby
Kamala Harris makes history as the first woman to become vice president,https://www.vox.com/21547999/kamala-harris-first-woman-vice-president-black,"Nov  7, 2020",Li Zhou
Why the Supreme Court is unlikely to steal the election for Donald Trump,https://www.vox.com/2020/11/5/21551983/supreme-court-donald-trump-election-amy-coney-barrett-steal-bush-gore,"Nov  5, 2020",Ian Millhiser
The 3 elements of Trump’s foreign policy Biden should keep,https://www.vox.com/21564009/trump-biden-foreign-policy-china-war-hostages,"Nov 17, 2020",Alex Ward
Live results: Biden wins Wisconsin,https://www.vox.com/2020/11/4/21548685/wisconsin-election-results-live-electoral-map,"Nov  4, 2020",Li Zhou
How the Libertarian Party (maybe) helped shift the presidential race,https://www.vox.com/21561230/libertarian-party-third-party-2020-election,"Nov 13, 2020",Jane Coaston
Exclusive: Biden leads Trump by 12 points in a national UT Dallas poll ,https://www.vox.com/21538653/poll-biden-trump-texas-university-dallas,"Oct 29, 2020",Li Zhou and Christina Animashaun
How Trump could win the 2020 election through the Electoral College,https://www.vox.com/21536114/how-trump-could-win-2020-election,"Oct 29, 2020",Andrew Prokop
How Joe Biden could make Brazil his first “climate outlaw”,https://www.vox.com/21558425/brazil-bolsonaro-biden-climate-change-amazon,"Nov 12, 2020",Jariel Arvin
What Joe Biden won — and what he didn’t,https://www.vox.com/2020/11/10/21558566/joe-biden-winner-election-2020-republican-senate,"Nov 10, 2020",Liz Scheltens and Adam Freelander
Vox poll: 73 percent of Republican voters are questioning Biden’s victory,https://www.vox.com/2020/11/18/21573145/poll-trump-election-fraud-allegations-republican-voters,"Nov 18, 2020",Li Zhou
Activist groups say it’s not time to march against a Trump coup — yet,https://www.vox.com/2020/11/12/21562635/trump-coup-concede-pompeo-sunrise-biden,"Nov 12, 2020",Anna North
"The disturbing GOP attempt to block certification of Biden’s Michigan win, explained ",https://www.vox.com/2020/11/18/21572409/michigan-wayne-county-trump-certification-balance,"Nov 18, 2020",Andrew Prokop
"In 24 hours, Trump went from almost conceding to falsely claiming “I WON THE ELECTION!” ",https://www.vox.com/2020/11/16/21569619/trump-almost-concede-tweet-i-won-election,"Nov 16, 2020",Sean Collins
"Biden’s plan to fix Trump’s global mess, explained in 600 words",https://www.vox.com/21528637/joe-biden-president-foreign-policy-explained,"Nov  9, 2020",Alex Ward
